timestamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,linear_vel_x,linear_vel_y,angular_vel_z
0.177,1.39615169836467e-06,-1.202278189226815e-07,0.07500015777513987,-2.1336266252565152e-07,-3.8676942402005344e-07,4.365288542416982e-06,0.9999999999903746,-7.711689112672518e-05,-1.2029916975055167e-05,1.4946800822717166e-05
0.198,1.5503921652847402e-06,-1.4975977375840822e-07,0.0750001618870154,-2.1957034822305868e-07,-3.948796986052468e-07,4.443748217490296e-06,0.9999999999900246,-0.0001513824317876031,-6.825516143259072e-06,1.0254178590505703e-05
0.219,1.744566043241822e-06,-1.6096044891091227e-07,0.0750001549377937,-2.1790630467129871e-07,-3.7742006065965984e-07,4.51580608138286e-06,0.9999999999897089,-0.00015430102681561293,-6.8621144947746194e-06,1.0279061358657524e-05
0.238,1.940860849028751e-06,-1.7213978081598866e-07,0.07500014820375568,-2.1625598648222478e-07,-3.6058212792396197e-07,4.587774376311946e-06,0.9999999999893879,-0.0001543953580988324,-6.865279083410219e-06,1.0268232759089242e-05
0.259,2.137562914520264e-06,-1.833440427484001e-07,0.07500014183946165,-2.1469547947210283e-07,-3.446718872312503e-07,4.659625674662227e-06,0.9999999999890616,-0.00015437790329235807,-6.86656691824226e-06,1.0256851940071925e-05
0.278,2.3345835421277e-06,-1.9457246588504458e-07,0.07500013582806993,-2.1322147936398972e-07,-3.296440032668082e-07,4.731365925948715e-06,0.99999999998873,-0.00015435713847107834,-6.8677136603072725e-06,1.024606315135561e-05
0.298,2.5319023812568012e-06,-2.0582372960050973e-07,0.07500013015011846,-2.1182924072169262e-07,-3.154496926211894e-07,4.803001281624884e-06,0.9999999999883934,-0.00015433735351266459,-6.868793817498203e-06,1.0235871627979658e-05
0.319,2.7295027826518097e-06,-2.17096566228214e-07,0.07500012478711623,-2.105142301913774e-07,-3.0204272444575485e-07,4.8745375602793036e-06,0.9999999999880517,-0.00015431865905995217,-6.8698137779120226e-06,1.0226245707964583e-05
0.339,2.9273691242482107e-06,-2.283897776371533e-07,0.0750001197215938,-2.092721639769681e-07,-2.8937942671452226e-07,4.9459802578985084e-06,0.999999999987705,-0.0001543010012828862,-6.8707769869410905e-06,1.0217154072200028e-05
0.358,3.125486654664356e-06,-2.3970223207692674e-07,0.07500011493705064,-2.080989957367865e-07,-2.774185496845229e-07,5.017334565688169e-06,0.999999999987353,-0.00015428432295678792,-6.871686604029601e-06,1.0208567077436994e-05
0.378,3.323841440917006e-06,-2.5103286066096436e-07,0.07500011041790138,-2.0699090367445713e-07,-2.661211313205615e-07,5.088605387034148e-06,0.9999999999869963,-0.0001542685697269367,-6.872545595102833e-06,1.020045677285796e-05
