timestamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,linear_vel_x,linear_vel_y,angular_vel_z
0.108,-1.0842021724855044e-18,0.0,0.08206600000000001,1.9941343209999587e-20,5.148318559128907e-18,7.334480761858662e-21,1.0,-9.778390206146493e-17,1.423902652667196e-19,1.4986113795218384e-18
0.129,1.8668235148576505e-06,-2.0389015507799903e-06,0.07499999975404095,6.350105534849102e-06,6.814427119045304e-11,3.2279207597911725e-06,0.9999999999746285,0.0005799562816852059,0.0008970334602406683,0.0009944212037392023
0.149,1.39615169836467e-06,-1.202278189226815e-07,0.07500015777513987,-2.1336266252565152e-07,-3.8676942402005344e-07,4.365288542416982e-06,0.9999999999903746,-7.711689112672518e-05,-1.2029916975055167e-05,1.4946800822717166e-05
0.169,1.5503921652847402e-06,-1.4975977375840822e-07,0.0750001618870154,-2.1957034822305868e-07,-3.948796986052468e-07,4.443748217490296e-06,0.9999999999900246,-0.0001513824317876031,-6.825516143259072e-06,1.0254178590505703e-05
0.188,1.744566043241822e-06,-1.6096044891091227e-07,0.0750001549377937,-2.1790630467129871e-07,-3.7742006065965984e-07,4.51580608138286e-06,0.9999999999897089,-0.00015430102681561293,-6.8621144947746194e-06,1.0279061358657524e-05
0.208,1.940860849028751e-06,-1.7213978081598866e-07,0.07500014820375568,-2.1625598648222478e-07,-3.6058212792396197e-07,4.587774376311946e-06,0.9999999999893879,-0.0001543953580988324,-6.865279083410219e-06,1.0268232759089242e-05
0.228,2.137562914520264e-06,-1.833440427484001e-07,0.07500014183946165,-2.1469547947210283e-07,-3.446718872312503e-07,4.659625674662227e-06,0.9999999999890616,-0.00015437790329235807,-6.86656691824226e-06,1.0256851940071925e-05
0.248,2.3345835421277e-06,-1.9457246588504458e-07,0.07500013582806993,-2.1322147936398972e-07,-3.296440032668082e-07,4.731365925948715e-06,0.99999999998873,-0.00015435713847107834,-6.8677136603072725e-06,1.024606315135561e-05
0.268,2.5319023812568012e-06,-2.0582372960050973e-07,0.07500013015011846,-2.1182924072169262e-07,-3.154496926211894e-07,4.803001281624884e-06,0.9999999999883934,-0.00015433735351266459,-6.868793817498203e-06,1.0235871627979658e-05
0.288,2.7295027826518097e-06,-2.17096566228214e-07,0.07500012478711623,-2.105142301913774e-07,-3.0204272444575485e-07,4.8745375602793036e-06,0.9999999999880517,-0.00015431865905995217,-6.8698137779120226e-06,1.0226245707964583e-05
0.309,2.9273691242482107e-06,-2.283897776371533e-07,0.0750001197215938,-2.092721639769681e-07,-2.8937942671452226e-07,4.9459802578985084e-06,0.999999999987705,-0.0001543010012828862,-6.8707769869410905e-06,1.0217154072200028e-05
0.328,3.125486654664356e-06,-2.3970223207692674e-07,0.07500011493705064,-2.080989957367865e-07,-2.774185496845229e-07,5.017334565688169e-06,0.999999999987353,-0.00015428432295678792,-6.871686604029601e-06,1.0208567077436994e-05
0.349,3.323841440917006e-06,-2.5103286066096436e-07,0.07500011041790138,-2.0699090367445713e-07,-2.661211313205615e-07,5.088605387034148e-06,0.9999999999869963,-0.0001542685697269367,-6.872545595102833e-06,1.020045677285796e-05
0.368,3.522420322788671e-06,-2.6238065377006585e-07,0.07500010614942512,-2.0594427806251697e-07,-2.5545037094591356e-07,5.1597973532820986e-06,0.9999999999866344,-0.00015425369032150436,-6.873356767718169e-06,1.0192796704311207e-05
0.388,3.7212108700990926e-06,-2.737446577648285e-07,0.07500010211771745,-2.049557091294058e-07,-2.453715088835091e-07,5.230914838924809e-06,0.9999999999862678,-0.00015423963625701108,-6.8741227871843675e-06,1.0185561883779799e-05
0.408,3.9202013420962375e-06,-2.8512397195476014e-07,0.07500009830964524,-2.040219765717077e-07,-2.358517135352599e-07,5.301961975935826e-06,0.9999999999858961,-0.0001542263617571157,-6.874846141467573e-06,1.0178728758095795e-05
0.428,4.1193806492777424e-06,-2.9651774567521563e-07,0.07500009471280375,-2.0314003855706282e-07,-2.268599743469708e-07,5.372942667079806e-06,0.9999999999855195,-0.00015421382356470577,-6.875529216860269e-06,1.0172275042208625e-05
0.448,4.318738317210112e-06,-3.079251753892163e-07,0.07500009131547636,-2.0230702196696777e-07,-2.1836700087895798e-07,5.4438605986375355e-06,0.9999999999851379,-0.0001542019808690256,-6.876174229893996e-06,1.0166179676075996e-05
0.468,4.518264452574652e-06,-3.1934550212857e-07,0.07500008810659632,-2.0152021308443293e-07,-2.103451272480604e-07,5.514719252563182e-06,0.9999999999847515,-0.0001541907950490616,-6.87678330645135e-06,1.0160422793105045e-05
0.489,4.717949710652896e-06,-3.307780090936103e-07,0.0750000850757106,-2.0077704885611424e-07,-2.0276822219957117e-07,5.5855219175428955e-06,0.9999999999843603,-0.00015418022971818782,-6.877358427335947e-06,1.0154985644238319e-05
0.509,4.917785265157811e-06,-3.4222201915573656e-07,0.0750000822129463,-2.0007510805183086e-07,-1.9561160397736957e-07,5.656271700022361e-06,0.9999999999839642,-0.0001541702504200637,-6.877901491917216e-06,1.0149850463841353e-05
0.528,5.117762779382204e-06,-3.5367689281439775e-07,0.07500007950897766,-1.9941210422235816e-07,-1.8885195956886183e-07,5.7269715340560616e-06,0.9999999999835634,-0.00015416082466701664,-6.878414266202683e-06,1.0145000518593984e-05
0.548,1.9579876472392965e-06,-8.975792461630538e-07,0.07499999868165079,-1.9505877476398213e-07,1.2904346915107423e-09,5.770847463086411e-06,0.9999999999833297,0.00010745349609387128,0.00037439146076113775,-0.0005195215444474593
0.568,1.8253886420533305e-06,-8.302450285201557e-07,0.07499999885333992,-1.8802028218268145e-07,2.6177211993985986e-09,5.450274581945669e-06,0.9999999999851297,-4.758284723978531e-06,-9.0437255326833e-07,2.30079864589561e-06
0.589,1.7363172897035288e-06,-8.347279333244164e-07,0.07499999890737227,-1.8861990741428653e-07,2.4683373751916914e-09,5.4641045812562015e-06,0.9999999999850542,-4.359144159879261e-06,-1.1862501307031109e-07,1.2118164876228525e-06
0.608,1.6500163316681814e-06,-8.369979931798941e-07,0.07499999895832296,-1.8835000782624339e-07,2.3283183805234493e-09,5.475786708563765e-06,0.9999999999849901,-4.2771553874319906e-06,-1.0980788126456447e-07,1.130079921135909e-06
0.628,1.5652664283444771e-06,-8.391167810763828e-07,0.0749999990063038,-1.880899262279149e-07,2.196467212128292e-09,5.486687935656043e-06,0.9999999999849305,-4.202197347226548e-06,-1.0260366943157954e-07,1.0543497140958567e-06
0.648,1.4819690639478016e-06,-8.410959454063652e-07,0.07499999905148749,-1.8784494560256353e-07,2.0723026618516883e-09,5.4968552696390365e-06,0.9999999999848747,-4.131626335838308e-06,-9.582102242366524e-08,9.83035039121908e-07
0.668,1.4000394981127139e-06,-8.42943629782687e-07,0.07499999909403715,-1.8761424706140488e-07,1.9553764795589365e-09,5.506331494598886e-06,0.9999999999848226,-4.065169518855828e-06,-8.943378785596173e-08,9.1587778420703e-07
0.688,1.319397991952605e-06,-8.44667498989737e-07,0.07499999913410632,-1.8739699853516025e-07,1.8452667967294732e-09,5.51515689996688e-06,0.9999999999847741,-4.0025869369225185e-06,-8.341890325140531e-08,8.526355734720702e-07
0.709,1.2399694555293014e-06,-8.46274770928163e-07,0.0749999991718395,-1.8719241584221595e-07,1.7415761787303948e-09,5.523369426433302e-06,0.9999999999847287,-3.943652722319195e-06,-7.775466997767507e-08,7.930801722930234e-07
